један,"a, an",а
напустити,abandon,покидать
способност,ability,способность
способан,able,способный
О томе,about,о
изнад,above,выше
иностранство,abroad,за границей
апсолутан,absolute,абсолютный
апсолутно,absolutely,абсолютно
академски,academic,академический
прихватити,accept,принимать
прихватљив,acceptable,приемлемый
приступ,access,доступ
незгода,accident,несчастный случай
смештај,accommodation,размещение
пратити,accompany,сопровождать
према,according to,в соответствии с
рачун,account,счет
тачан,accurate,точный
оптужити,accuse,обвинять
постићи,achieve,достигать
достигнуће,achievement,достижение
признати,acknowledge,сознавать
стећи,acquire,приобретать
широм,across,через
деловати,act,действовать
поступак,action,действие
активан,active,активный
активност,activity,активность
глумац,actor,актер
глумица,actress,актриса
актуелан,actual,действительный
заправо,actually,на самом деле
реклама,ad,объявление
прилагодити,adapt,адаптировать
додати,add,добавлять
додатак,addition,добавление
додатни,additional,дополнительный
адреса,address,адрес
администрација,administration,администрация
дивити се,admire,восхищаться
пустити,admit,признавать
усвојити,adopt,усыновить
одрасла особа,adult,взрослый
unapred,Advance,Продвигать
напредан,Advanced,Передовой
предност,Advantage,Преимущество
авантура,Adventure,Приключение
рекламирати,Advertise,Рекламировать
Реклама,Advertisement,Реклама
оглашавање,Advertising,Реклама
савет,Advice,Совет
афера,affair,роман
утицати,affect,оказывать воздействие
приуштити,afford,предоставлять
уплашен,afraid,испуганный
после,after,после
поподневни,afternoon,полдень
после,afterwards,после
опет,again,снова
против,against,против
старост,age,возраст
старости,aged,пожилой
агенција,agency,агентство
дневни ред,agenda,повестка дня
заступник,agent,агент
агресиван,aggressive,агрессивный
пре,ago,назад
договорити се,agree,соглашаться
договор,agreement,соглашение
Ах,ah,ах
напред,ahead,предстоящий
помоћ,aid,помогать
циљ,aim,цель
ваздух,air,воздух
авион,aircraft,самолет
ваздушна линија,airline,авиакомпания
аеродром,airport,аэропорт
алармни,alarm,тревога
албум,album,альбом
алкохол,alcohol,алкоголь
алкохоличар,alcoholic,алкоголик
жив,alive,живой
све,all,все
У реду,all right,все в порядке
допустити,allow,позволять
скоро,almost,почти
сам,alone,один
дуж,along,вдоль
већ,already,уже
такође,also,также
Алтер,alter,альтернативный
алтернатива,alternative,альтернатива
иако,although,хотя
увек,always,всегда
задивљен,amazed,поражен
Невероватно,amazing,удивительный
амбиција,ambition,амбиция
амбициозан,ambitious,амбициозный
међу,among,среди
износ,amount,количество
анализирати,analyse,анализировать
анализа,analysis,анализ
древни,ancient,древний
и,and,и
љутња,anger,злость
угао,angle,угол
љут,angry,злой
животиња,animal,животное
чланак,ankle,лодыжка
годишњица,anniversary,годовщина
најавити,announce,объявить
објава,announcement,объявление
аннои,annoy,раздражать
изнервиран,annoyed,раздраженный
досадан,annoying,раздражающий
годишњи,annual,ежегодный
други,another,другой
одговор,answer,отвечать
забринут,anxious,тревожный
било који,any,любой
ико,anybody,любой
више,any more,больше
било ко,anyone,любой
било шта,anything,что-либо
У сваком случају,anyway,в любом случае
било где,anywhere,в любом месте
одвојено,apart,отдельно
стан,apartment,квартира
извинити се,apologize,извиняться
апликација,app,приложение
очигледан,apparent,очевидный
очигледно,apparently,видимо
жалба,appeal,обращаться
појавити,appear,появляться
изглед,appearance,появление
јабука,apple,яблоко
апликација,application,приложение
применити,apply,применять
именовање,appointment,встреча
ценити,appreciate,ценить
приступ,approach,подход
прикладан,appropriate,соответствующий
одобрење,approval,одобрение
одобрити,approve,утвердить
од прилике,approximately,примерно
Април,April,апрель
архитекта,architect,архитектор
архитектура,architecture,архитектура
област,area,область
расправљати,argue,спорить
расправа,argument,аргумент
устати,arise,возникнуть
арм,arm,рука
наоружан,armed,вооруженный
оружје,arms,оружие
војска,army,армия
око,around,вокруг
